title,myrating,avgrating,binding,pages,pubyear,shelf
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5.00,4.57,Paperback,652.00,2005,read
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",5.00,4.50,Paperback,870.00,2003,read
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",5.00,4.56,Paperback,734.00,2000,read
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",5.00,4.57,Paperback,435.00,1999,read
"Catacomb (Asylum, #3)",4.00,3.81,Paperback,352.00,2015,read
"Lady Midnight (The Dark Artifices, #1)",5.00,4.39,Hardcover,698.00,2016,read
"Sanctum (Asylum, #2)",4.00,3.89,Paperback,347.00,2014,read
"Asylum (Asylum, #1)",4.00,3.64,Paperback,317.00,2013,read
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",5.00,4.39,Paperback,361.00,2008,read
"The False Prince (The Ascendance Series, #1)",3.00,4.19,Paperback,342.00,2012,read
The Shadowhunter's Codex,5.00,3.99,Hardcover,274.00,2013,read
"The Hangman's Daughter (The Hangman's Daughter, #1)",5.00,3.73,Paperback,448.00,2008,read
"The Dark Prophecy (The Trials of Apollo, #2)",5.00,4.24,Hardcover,414.00,2017,read
"Cruel Crown (Red Queen, #0.1-0.2)",3.00,3.65,Paperback,208.00,2016,read
Tales from the Shadowhunter Academy,4.00,4.39,Hardcover,655.00,2016,read
Narrative of the Life of Frederick Douglass,3.00,4.04,Paperback,158.00,1845,read
Heartless,4.00,4.04,Hardcover,453.00,2016,read
"Red Queen (Red Queen, #1)",4.00,4.04,Hardcover,383.00,2015,read
Amusing Ourselves to Death: Public Discourse in the Age of Show Business,1.00,4.14,Paperback,184.00,1985,read
The Glass Castle,3.00,4.28,Paperback,288.00,2005,read
"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",1.00,3.61,Paperback,343.00,2016,read
"The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1)",3.00,3.84,Paperback,390.00,2007,read
"United as One (Lorien Legacies, #7)",4.00,4.31,Hardcover,449.00,2016,read
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",4.00,4.01,Paperback,418.00,2011,read
"The 5th Wave (The 5th Wave, #1)",2.00,4.04,Hardcover,457.00,2013,read
"Stars Above (The Lunar Chronicles, #4.5)",5.00,4.20,Hardcover,369.00,2016,read
"The Game of Lives (The Mortality Doctrine, #3)",3.00,3.90,Hardcover,336.00,2015,read
"The Hidden Oracle (The Trials of Apollo, #1)",5.00,4.23,Hardcover,375.00,2016,read
"Yellow Brick War (Dorothy Must Die, #3)",3.00,3.82,Paperback,270.00,2016,read
"Skeleton Key (Alex Rider, #3)",4.00,4.07,Paperback,327.00,2002,read
"Point Blank (Alex Rider, #2)",4.00,4.11,Paperback,274.00,2001,read
"Stormbreaker (Alex Rider, #1)",4.00,3.98,Paperback,256.00,2000,read
The Help,5.00,4.46,Paperback,451.00,2009,read
"Winter (The Lunar Chronicles, #4)",5.00,4.44,Hardcover,827.00,2015,read
"The Once and Future King (The Once and Future King, #1-4)",3.00,4.05,Paperback,639.00,1958,read
"The Fate of Ten (Lorien Legacies, #6)",4.00,4.31,Hardcover,416.00,2015,read
Percy Jackson's Greek Heroes,5.00,4.48,Hardcover,404.00,2015,read
I Am the Messenger,2.00,4.05,Paperback,357.00,2002,read
"Night  (The Night Trilogy, #1)",4.00,4.34,Paperback,115.00,1956,read
Fahrenheit 451,4.00,3.99,Paperback,194.00,1953,read
"Eighth Grade Bites (The Chronicles of Vladimir Tod, #1)",3.00,3.93,Paperback,182.00,2007,read
"The Wizard Returns (Dorothy Must Die, #0.3)",3.00,3.66,Paperback,100.00,2015,read
"The Witch Must Burn (Dorothy Must Die, #0.2)",3.00,3.84,Paperback,100.00,2014,read
"No Place Like Oz (Dorothy Must Die, #0.1)",3.00,3.82,Paperback,125.00,2013,read
"The Wicked Will Rise (Dorothy Must Die, #2)",3.00,3.80,Hardcover,293.00,2015,read
"Fairest (The Lunar Chronicles, #3.5)",5.00,3.98,Hardcover,222.00,2015,read
"The Circle of Blood (Forensic Mysteries, #3)",2.00,4.18,Paperback,236.00,2008,read
"The Rule of Thoughts (The Mortality Doctrine, #2)",4.00,3.99,Hardcover,325.00,2014,read
"The Eye of Minds (The Mortality Doctrine, #1)",4.00,3.85,Hardcover,308.00,2013,read
Who Moved My Cheese?,3.00,3.82,Hardcover,96.00,1998,read
"Cress (The Lunar Chronicles, #3)",5.00,4.43,Paperback,552.00,2014,read
"Scarlet (The Lunar Chronicles, #2)",5.00,4.27,Paperback,454.00,2013,read
"Finding June (June, #1)",2.00,3.75,Paperback,295.00,2012,read
The Bane Chronicles,5.00,4.15,Hardcover,507.00,2014,read
"Dorothy Must Die (Dorothy Must Die, #1)",4.00,3.81,Hardcover,452.00,2014,read
Eleanor & Park,1.00,4.05,Hardcover,328.00,2012,read
"The Blood of Olympus (The Heroes of Olympus, #5)",5.00,4.41,Hardcover,516.00,2014,read
Percy Jackson's Greek Gods,5.00,4.49,Hardcover,417.00,2014,read
"The Revenge of Seven (Lorien Legacies, #5)",4.00,4.27,Hardcover,371.00,2014,read
"Will Grayson, Will Grayson",2.00,3.77,Hardcover,310.00,2010,read
Paper Towns,1.00,3.80,Paperback,305.00,2008,read
"Four: A Divergent Story Collection (Divergent, #0.1-0.4)",4.00,4.03,Hardcover,208.00,2014,read
Looking for Alaska,1.00,4.02,Paperback,221.00,2005,read
"Cinder (The Lunar Chronicles, #1)",5.00,4.14,Paperback,400.00,2012,read
"The Lightning Thief (Percy Jackson and the Olympians, #1)",5.00,4.26,Paperback,375.00,2005,read
"Secret Histories (Lorien Legacies: The Lost Files, #4-6)",3.00,4.27,Paperback,368.00,2013,read
